HOT_surface_CO2.txt																					
Hawaii Ocean Time-series surface CO2 system data product																					
Created 5 October 2009 by J.E. Dore																					
Last updated 11 December 2023 by J.E. Dore																					
"See HOT_surface_CO2_readme.pdf for explanatory material, metadata, and notes (https://hahana.soest.hawaii.edu/hot/hotco2/hotco2.html)"																					
"When using this data product please cite as adapted from: Dore, J.E., R. Lukas, D.W. Sadler, M.J. Church, and D.M. Karl.  2009.  Physical and biogeochemical modulation of ocean acidification in the central North Pacific.  Proc Natl Acad Sci USA 106:12235-12240."																					
Please direct questions or comments regarding this data product to John Dore: jdore@montana.edu																					
																					
cruise	days	date	temp	sal	phos	sil	DIC	TA	nDIC	nTA	pHmeas_25C	pHmeas_insitu	pHcalc_25C	pHcalc_insitu	pCO2calc_insitu	pCO2calc_20C	aragsatcalc_insitu	calcsatcalc_insitu	freeCO2_insitu	carbonate_insitu	notes
148	5345	21-May-03	25.097	35.031	0.04	0.77	1976.2	2305.5	1974.5	2303.5	-999	-999	8.0922	8.0905	349.5	284.1	3.69	5.59	9.87	232.5	c
149	5375	20-Jun-03	25.832	35.173	0.04	0.81	1978.2	2311	1968.5	2299.6	8.096	8.083	8.0952	8.0824	357.3	282.1	3.74	5.65	9.9	235.1	
150	5405	20-Jul-03	26.078	35.325	0.03	1.59	1989.35	2324	1971	2302.6	8.081	8.065	8.094	8.0777	363.6	284.2	3.76	5.68	10	236.6	
151	5437	21-Aug-03	26.25	34.869	0.03	1.11	1967	2300.5	1974.4	2309.1	8.09	8.071	8.1019	8.0829	355.7	276.1	3.76	5.68	9.77	235.6	
152	5492	15-Oct-03	26.775	35.045	0.02	0.73	1967.75	2311.5	1965.2	2308.5	8.11	8.083	8.1141	8.0873	351.8	267.3	3.88	5.85	9.53	242.6	
153	5518	10-Nov-03	26.469	35.198	0.05	0.84	1973.15	2316.5	1962.1	2303.5	8.105	8.083	8.1106	8.0884	351.3	270.3	3.86	5.83	9.58	242.3	
154	5558	20-Dec-03	24.139	35.324	0.01	1.01	1986.9	2326	1968.7	2304.7	8.094	8.107	8.1008	8.1134	330.2	278.9	3.77	5.72	9.54	239	
155	5591	22-Jan-04	24.108	35.198	0.01	1.03	1986.05	2312	1974.9	2299	8.09	8.103	8.0837	8.0967	344.7	291.6	3.63	5.51	9.97	230.1	
156	5625	25-Feb-04	24.506	35.001	0.04	1.01	1978.95	2315.5	1978.9	2315.4	8.09	8.097	8.1026	8.1096	332.9	277.1	3.75	5.7	9.54	237.5	
157	5649	20-Mar-04	23.036	35.242	0.01	1.07	1991.5	2326.5	1977.8	2310.5	8.085	8.114	8.0953	8.1244	321.3	283.7	3.7	5.65	9.55	236.1	
158	5681	21-Apr-04	23.982	34.992	0.06	1.07	1978	2301.5	1978.5	2302	8.079	8.094	8.084	8.0988	341.8	290.6	3.6	5.48	9.93	228.3	
159	5709	19-May-04	25.47	34.607	0.05	1.05	1956.15	2281.5	1978.4	2307.4	8.09	8.083	8.0952	8.0878	349.4	279.8	3.66	5.54	9.79	229.7	
160	5737	16-Jun-04	25.739	34.726	0.03	1.21	1960.25	2288	1975.7	2306.1	8.092	8.081	8.0965	8.0852	352.5	279.2	3.69	5.58	9.81	231.4	
161	5764	13-Jul-04	26.486	34.61	0.01	0.98	1952.4	2275.5	1974.4	2301.1	8.101	8.079	8.0925	8.0701	365.6	281.2	3.65	5.52	9.99	228.3	
162	5798	16-Aug-04	26.893	34.867	0.02	0.82	1961.35	2292.5	1968.8	2301.2	8.106	8.078	8.0995	8.071	366.1	277	3.74	5.65	9.89	234	
163	5842	29-Sep-04	27.4	34.894	0.02	0.85	1956.75	2292.5	1962.7	2299.5	8.114	8.078	8.1065	8.0705	366	271.4	3.8	5.73	9.77	237	
164	5874	31-Oct-04	26.059	35.177	0.01	0.79	1980.75	2317	1970.8	2305.3	8.096	8.08	8.0997	8.0836	356.9	279.1	3.78	5.71	9.83	237.6	
165	5902	28-Nov-04	26.345	34.964	0.03	0.83	1957	2296	1959	2298.4	8.114	8.094	8.1102	8.0898	347.6	268.7	3.81	5.76	9.51	238.9	
166	5925	21-Dec-04	25.245	34.956	0.03	0.93	1971.3	2307	1973.8	2309.9	8.098	8.094	8.1032	8.0992	341.1	275.6	3.76	5.7	9.6	236.9	
167	5968	2-Feb-05	24.052	34.999	0.02	0.86	1974.85	2297	1974.9	2297.1	8.086	8.1	8.0825	8.0963	343.5	291.2	3.59	5.46	9.96	227.3	
168	5999	5-Mar-05	23.973	35.007	0.03	1.04	1976.85	2305.5	1976.5	2305	8.089	8.104	8.0915	8.1065	334.9	284.8	3.66	5.56	9.73	231.8	i
169	6073	18-May-05	25.164	34.906	0.05	1.28	1975.55	2304	1980.9	2310.2	8.087	8.084	8.0927	8.0899	350.2	283.9	3.68	5.58	9.88	232.1	
170	6101	15-Jun-05	25.127	35.266	0.06	1.13	1994.35	2321.5	1979.3	2304	8.085	8.083	8.0832	8.0809	361	293.1	3.66	5.55	10.17	231.5	
171	6133	17-Jul-05	25.888	35.015	0.03	0.98	1983.5	2305	1982.7	2304	8.09	8.076	8.0799	8.0664	373.7	294.4	3.62	5.48	10.34	227.7	n
172	6161	14-Aug-05	26.281	35.103	0.04	1.35	1980.5	2312.5	1974.7	2305.7	8.094	8.075	8.0945	8.0751	365	283	3.74	5.65	10	234.8	
173	6188	10-Sep-05	26.751	35.031	0.05	0.87	1982.05	2308	1980.3	2306	8.104	8.078	8.0864	8.0601	380	289.3	3.69	5.57	10.3	231	
174	6217	9-Oct-05	26.25	35.173	0.03	1.06	1980.9	2315	1971.2	2303.6	8.099	8.08	8.0966	8.0777	362.5	281.4	3.76	5.68	9.94	236.2	
175	6251	12-Nov-05	25.272	35.077	0.03	0.96	1983	2311	1978.6	2305.9	8.092	8.088	8.0887	8.0843	356.3	287.7	3.68	5.57	10.01	231.9	
176	6282	13-Dec-05	24.947	35.185	0.02	1.06	1985.5	2314.5	1975.1	2302.3	8.092	8.092	8.0884	8.0888	352.2	288.1	3.68	5.58	9.97	232.5	
177	6325	25-Jan-06	23.55	35.265	0.07	0.9	1989.18	2322	1974.2	2304.5	8.074	8.095	8.0921	8.1135	330.3	285.7	3.69	5.62	9.69	234.6	
178	6346	15-Feb-06	23.149	35.202	0.03	0.87	1999.02	2315.7	1987.5	2302.4	8.07	8.097	8.068	8.0953	347.5	305.6	3.52	5.36	10.3	224	
179	6369	10-Mar-06	23.233	35.111	0.05	0.83	1993.4	2318.5	1987.1	2311.1	8.075	8.101	8.0823	8.1084	335.4	293.9	3.61	5.5	9.93	229.6	
180	6392	2-Apr-06	23.534	34.863	0.04	0.76	1964.52	2284.4	1972.2	2293.3	8.087	8.109	8.0825	8.104	334.9	289.9	3.55	5.41	9.85	225.3	
181	6447	27-May-06	23.516	35.214	0.01	0.72	1999.22	2316.3	1987.1	2302.2	8.064	8.086	8.0684	8.0901	352.4	305.4	3.53	5.37	10.35	224.3	
182	6465	14-Jun-06	25.803	34.873	0.04	0.6	1972.35	2289.4	1979.5	2297.7	8.088	8.076	8.0769	8.0646	373.5	295.3	3.57	5.41	10.37	224.4	
183	6494	13-Jul-06	25.311	34.903	0.08	0.85	1976.86	2300.4	1982.4	2306.8	8.081	8.076	8.0853	8.0804	359.2	289.5	3.63	5.51	10.09	228.8	
184	6521	9-Aug-06	26.327	34.892	0.07	0.65	1966.93	2294	1973	2301.1	8.099	8.079	8.0923	8.0723	365.6	283	3.69	5.57	10.02	231.2	
185	6559	16-Sep-06	26.488	35.164	0.02	0.81	1980.88	2316.9	1971.6	2306.1	8.091	8.069	8.0994	8.077	363.3	279.3	3.79	5.72	9.9	237.6	
186	6594	21-Oct-06	26.198	35.128	0.02	0.58	1983.22	2309.8	1976	2301.4	8.088	8.07	8.086	8.0679	372.2	289.6	3.68	5.56	10.22	231.2	
187	6613	9-Nov-06	25.955	35.091	0.03	0.87	1979.68	2309.6	1974.5	2303.6	8.084	8.069	8.0918	8.0772	362.6	284.9	3.71	5.61	10.02	233.3	
188	6644	10-Dec-06	24.903	35.238	0.01	0.53	1984.29	2314.5	1970.9	2298.9	8.088	8.089	8.0897	8.0908	350.1	286.8	3.69	5.59	9.92	233.2	
189	6703	7-Feb-07	23.776	35.209	0.02	1.07	1989	2317.5	1977.2	2303.7	8.082	8.1	8.0868	8.1047	338	289.7	3.65	5.55	9.86	231.9	
190	6745	21-Mar-07	23.429	35.161	0.02	1.4	1993.95	2314	1984.8	2303.4	8.075	8.098	8.0742	8.0973	345.1	300.1	3.56	5.42	10.16	226.2	
191	6790	5-May-07	24.63	34.86	0.08	1.21	1979.43	2296.3	1987.4	2305.6	8.078	8.083	8.0756	8.0808	358.9	297.3	3.55	5.39	10.26	224.2	
192	6826	10-Jun-07	25.506	34.929	0.08	1.16	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	o
193	6854	8-Jul-07	25.655	35.063	0.04	1.45	1986.6	2304.3	1983	2300.2	8.086	8.076	8.0732	8.0631	377.1	299.9	3.58	5.41	10.5	225.1	
194	6881	4-Aug-07	26.406	35.028	0.05	0.99	1980.25	2306.5	1978.7	2304.7	8.091	8.07	8.0872	8.066	373.8	288.5	3.68	5.56	10.21	231	
195	6911	3-Sep-07	26.54	35.135	0.05	1.26	1984.05	2310	1976.4	2301.1	8.082	8.059	8.0847	8.0616	378.6	290.7	3.68	5.56	10.31	230.8	
196	6941	3-Oct-07	26.09	35.083	0.05	1.23	1985.3	2308	1980.6	2302.5	8.082	8.065	8.0805	8.0639	376.4	294.1	3.64	5.5	10.36	228.6	
197	7001	2-Dec-07	25.082	35.036	0.05	1.04	1985.25	2300	1983.2	2297.6	8.087	8.085	8.0693	8.0678	372.1	302.8	3.53	5.36	10.51	222.9	
198	7020	21-Dec-07	24.501	35.032	0.06	1.45	1987.75	2309	1985.9	2306.9	8.073	8.08	8.0786	8.0856	355.5	296	3.59	5.46	10.19	227.2	
199	7060	30-Jan-08	23.085	35.177	0.05	0.92	2000.65	2317	1990.6	2305.3	8.069	8.097	8.0675	8.0957	347.4	306.3	3.51	5.36	10.32	223.8	
200	7085	24-Feb-08	23.516	35.181	0.06	1.22	1998.9	2319.5	1988.6	2307.6	8.06	8.082	8.0739	8.0957	347.4	301	3.56	5.43	10.2	226.7	
201	7179	28-May-08	25.138	34.957	0.08	1.33	1987.45	2303.5	1989.9	2306.3	8.074	8.072	8.0718	8.0694	371.1	301.3	3.55	5.39	10.47	224	
202	7208	26-Jun-08	25.518	35.063	0.06	1.44	1986.1	2309.5	1982.5	2305.4	8.083	8.075	8.0816	8.0735	367	293.4	3.64	5.51	10.25	228.9	
203	7239	27-Jul-08	25.864	34.945	0.09	1.19	1985.05	2304	1988.2	2307.6	8.076	8.063	8.0767	8.0635	376.9	297.2	3.6	5.44	10.44	226.1	
204	7260	17-Aug-08	26.009	35.044	0.05	0.94	1979.05	2306	1976.6	2303.1	8.085	8.07	8.0882	8.0729	366.7	287.5	3.68	5.57	10.12	231.3	
205	7315	11-Oct-08	26.275	35.296	0.01	1.07	1985.9	2323.5	1969.2	2304	8.101	8.082	8.0992	8.0799	361	280	3.8	5.74	9.88	238.7	
206	7366	1-Dec-08	24.922	35.21	0.02	1.07	1995.4	2320.5	1983.5	2306.7	8.084	8.085	8.0808	8.0816	360.5	295.2	3.64	5.52	10.21	230.1	
207	7380	15-Dec-08	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	k
208	7417	21-Jan-09	23.401	35.336	0.02	1.1	2001.4	2325	1982.4	2302.9	8.074	8.098	8.0761	8.0996	344.1	299.5	3.59	5.47	10.13	228.7	
209	7445	18-Feb-09	22.907	35.306	0.04	1.01	2006.6	2331.5	1989.2	2311.3	8.07	8.101	8.0775	8.1084	337	299.2	3.6	5.49	10.05	229.6	
210	7515	29-Apr-09	22.883	35.249	0.05	1.02	2013.2	2325.5	1999	2309.1	8.058	8.089	8.0586	8.0898	354.6	315.3	3.47	5.29	10.58	221.3	
211	7544	28-May-09	24.445	35.399	0.03	0.99	2013.55	2329	1990.9	2302.7	8.062	8.07	8.0614	8.0693	374.7	312.8	3.53	5.36	10.73	223.9	
212	7581	4-Jul-09	25.49	35.095	0.12	1.22	2000.55	2321.5	1995.1	2315.2	8.067	8.059	8.0752	8.0676	375.3	300.4	3.61	5.47	10.49	227.7	
213	7602	25-Jul-09	25.774	35.152	0.1	1.21	2001.35	2319.5	1992.7	2309.5	8.068	8.056	8.0702	8.0584	384.4	304.3	3.59	5.43	10.66	225.9	
214	7627	19-Aug-09	26.122	35.21	0.06	0.91	1999.55	2323.5	1987.6	2309.6	8.074	8.057	8.0784	8.0614	381.3	297.6	3.66	5.53	10.48	229.9	
215	7664	25-Sep-09	26.494	35.472	0.04	1.01	2013.05	2339.5	1986.3	2308.4	8.079	8.057	8.0766	8.0541	390.8	300.6	3.69	5.57	10.63	231.9	
216	7704	4-Nov-09	26.168	35.29	0.09	1.13	1997.85	2326.5	1981.4	2307.4	8.078	8.06	8.0844	8.0667	375.7	292.7	3.7	5.6	10.31	232.9	
217	7740	10-Dec-09	24.417	35.366	0.07	1.13	2009.2	2331	1988.4	2306.9	8.066	8.074	8.0717	8.0801	363.7	304	3.59	5.46	10.43	228	
218	7807	15-Feb-10	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	k
219	7830	10-Mar-10	23.403	35.256	0.09	1.28	2005.85	2327.5	1991.3	2310.6	8.069	8.092	8.0734	8.0969	347.4	302.4	3.57	5.45	10.23	227.6	
220	7858	7-Apr-10	23.35	35.266	0.09	1.13	2008.1	2329.5	1993	2311.9	8.064	8.088	8.0725	8.0968	347.8	303.4	3.57	5.44	10.25	227.5	
221	7900	19-May-10	24.282	35.269	0.09	1.04	2007	2329	1991.7	2311.2	8.065	8.075	8.0736	8.0839	359.9	302.4	3.6	5.47	10.36	228.1	
222	7921	9-Jun-10	24.615	35.47	0.05	1.15	2017.6	2335.5	1990.9	2304.6	8.058	8.063	8.0634	8.0688	375.9	311.7	3.56	5.4	10.72	225.6	
223	7951	9-Jul-10	25.749	35.222	0.06	0.95	2003.25	2330	1990.6	2315.3	8.075	8.064	8.0817	8.0703	373.1	295.6	3.68	5.57	10.35	231.8	
224	7981	8-Aug-10	25.455	35.175	0.09	1.05	1997.1	2325.5	1987.2	2313.9	8.073	8.066	8.0856	8.0785	364.1	291.8	3.69	5.59	10.18	232.6	
225	8008	4-Sep-10	25.632	35.23	0.09	1.17	1998.2	2322.5	1985.2	2307.3	8.076	8.066	8.0788	8.0691	373.2	297.1	3.65	5.52	10.38	229.8	
226	8038	4-Oct-10	26.033	35.283	0.08	1.08	1997.05	2323	1981	2304.4	8.082	8.066	8.0807	8.0651	377	295.3	3.67	5.55	10.38	231	
227	8086	21-Nov-10	25.071	35.171	0.1	1.09	1996.45	2316	1986.7	2304.7	8.076	8.075	8.0729	8.0715	370.4	301.5	3.58	5.44	10.45	226.4	
228	8135	9-Jan-11	23.8	35.409	0.05	1.04	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	p
229	8155	29-Jan-11	23.7	35.383	0.04	1.04	2011.95	2333	1990.17	2307.7	8.067	8.086	8.07	8.0891	355.4	305.7	3.57	5.44	10.38	227.4	
230	8186	1-Mar-11	24.313	35.223	0.06	1.03	1997.3	2323.5	1984.65	2308.8	8.072	8.082	8.0819	8.0918	351.2	294.6	3.64	5.53	10.1	230.7	
231	8228	12-Apr-11	23.985	35.1	0.09	1.17	1992.85	2312	1987.17	2305.4	8.069	8.084	8.0737	8.0885	353.3	300.4	3.56	5.41	10.25	225.7	
232	8256	10-May-11	24.235	35.299	0.03	0.97	2002.65	2321	1985.69	2301.3	8.07	8.081	8.0686	8.0797	362.9	305.5	3.55	5.4	10.46	225.5	
233	8327	20-Jul-11	25.302	34.961	0.09	1.03	1984.5	2302	1986.71	2304.6	8.079	8.074	8.0744	8.0696	370.5	298.8	3.57	5.41	10.41	224.9	
234	8368	30-Aug-11	25.873	35.246	0.07	1.26	1989.3	2317	1975.42	2300.8	8.091	8.078	8.085	8.0717	369.2	291.1	3.68	5.57	10.21	231.9	
235	8396	27-Sep-11	26.158	35.22	0.07	0.99	1993.15	2319	1980.7	2304.5	8.092	8.074	8.082	8.0645	377	293.9	3.67	5.55	10.36	230.9	
236	8435	5-Nov-11	25.823	35.21	0.04	0.77	1989.15	2313	1977.29	2299.2	8.084	8.071	8.08	8.0674	373.3	294.9	3.64	5.51	10.34	229.3	
237	8459	29-Nov-11	24.672	35.215	0.08	0.82	1995.75	2317.5	1983.57	2303.4	8.078	8.083	8.0757	8.0802	361.6	299.1	3.6	5.46	10.31	227.7	
238	8480	20-Dec-11	23.985	35.282	0.06	0.92	2005.5	2322.5	1989.47	2303.9	8.071	8.086	8.0663	8.0811	362	307.8	3.54	5.38	10.5	224.6	
239	8510	19-Jan-12	23.62	35.218	0.1	1.04	2007.6	2325	1995.17	2310.6	8.062	8.082	8.0673	8.0876	356.3	307.4	3.54	5.38	10.43	224.8	
240	8576	25-Mar-12	23.093	35.169	0.09	1.15	2008.7	2322.5	1999.05	2311.3	8.059	8.087	8.0624	8.0905	353.5	311.6	3.49	5.32	10.5	222.3	
241	8614	2-May-12	23.478	35.117	0.15	1.2	2008.95	2318.5	2002.26	2310.8	8.056	8.078	8.0566	8.0789	364.5	316.4	3.45	5.26	10.72	219.5	
242	8643	31-May-12	24.248	35.146	0.12	1.11	2005.25	2318	1996.92	2308.4	8.065	8.076	8.0617	8.0725	370.4	311.7	3.5	5.32	10.68	221.9	
243	8670	27-Jun-12	24.367	35.218	0.12	0.91	2012.75	2324	2000.29	2309.6	8.059	8.068	8.0573	8.0664	377.6	316.2	3.49	5.3	10.85	221.1	
244	8705	1-Aug-12	25.041	35.153	0.12	1.28	2007.85	2318	1999.11	2307.9	8.062	8.061	8.0573	8.0563	387.1	315.6	3.49	5.29	10.94	220.4	
245	8722	18-Aug-12	25.305	35.184	0.15	1.24	2000	2308	1989.54	2295.9	8.063	8.058	8.0548	8.0499	392.1	316.3	3.47	5.25	11	218.7	
246	8750	15-Sep-12	25.527	35.027	0.17	1.23	1998.75	2306	1997.21	2304.2	8.063	8.055	8.0558	8.0477	394.6	315.6	3.47	5.25	11.02	218.4	
247	8773	8-Oct-12	25.611	35.086	0.15	1.27	2000.85	2317	1995.95	2311.3	8.065	8.056	8.0681	8.0587	384.1	306	3.57	5.4	10.7	224.5	
248	8830	4-Dec-12	24.823	35.344	0.09	1.14	2013.8	2333	1994.2	2310.3	8.067	8.069	8.0674	8.0697	374.7	308.1	3.58	5.43	10.63	226.6	
249	8901	13-Feb-13	23.137	35.353	0.12	1.17	2019.65	2331	1999.48	2307.7	8.056	8.083	8.0547	8.0821	362.7	319.2	3.46	5.28	10.75	220.8	
250	8923	7-Mar-13	22.729	35.413	0.09	1.28	2024.5	2334	2000.89	2306.8	8.05	8.084	8.0505	8.084	361.4	323.4	3.44	5.24	10.82	219.5	
251	8953	6-Apr-13	22.715	35.429	0.08	1.26	2028.3	2337	2003.74	2308.7	8.049	8.083	8.0485	8.0822	363.7	325.6	3.43	5.23	10.89	219.1	
252	8995	18-May-13	24.946	34.876	0.18	1.22	1995.3	2301.5	2002.39	2309.7	8.059	8.059	8.0566	8.0571	384.5	314.6	3.45	5.23	10.9	217.5	
253	9034	26-Jun-13	25.198	35.182	0.13	1.21	2007.85	2321	1997.46	2309	8.062	8.059	8.0614	8.0581	385.5	312.3	3.52	5.34	10.84	222.5	
254	9112	12-Sep-13	26.944	35.485	0.06	1.04	2009.15	2337	1981.69	2305.1	8.081	8.052	8.0791	8.0499	394.5	298.1	3.71	5.59	10.61	232.8	
255	9132	2-Oct-13	26.459	35.247	0.1	1.03	1999	2328	1984.99	2311.7	8.081	8.059	8.0853	8.0633	379.5	292.3	3.72	5.61	10.34	233.3	
256	9158	28-Oct-13	26.495	35.205	0.12	1.13	1998.8	2323	1987.16	2309.5	8.08	8.057	8.0788	8.0563	386.4	297.2	3.67	5.54	10.53	230.1	
257	9188	27-Nov-13	25.565	35.416	0.06	1.05	2009.15	2338.5	1985.55	2311	8.08	8.071	8.0821	8.0733	370.8	295.9	3.7	5.6	10.32	233.5	
258	9212	21-Dec-13	24.988	35.422	0.05	1	2007.9	2337.5	1983.98	2309.7	8.085	8.085	8.0826	8.0824	361.6	295.3	3.69	5.59	10.22	233.5	
259	9238	16-Jan-14	24.157	35.466	0.05	0.91	2017.95	2340	1991.44	2309.3	8.068	8.08	8.0695	8.0817	363.4	306.9	3.59	5.46	10.48	228.4	
260	9268	15-Feb-14	23.383	35.394	0.06	0.99	2018.1	2336.5	1995.63	2310.5	8.061	8.085	8.065	8.0888	356.5	310.6	3.54	5.39	10.49	225.7	
261	9287	6-Mar-14	24.111	35.237	0.12	1.04	2006.75	2324.5	1993.25	2308.9	8.067	8.08	8.0677	8.0806	362.8	307	3.55	5.39	10.49	225.2	
262	9323	11-Apr-14	23.37	35.318	0.08	1.15	2013.9	2329	1995.77	2308	8.062	8.086	8.0617	8.0857	358.7	312.7	3.51	5.34	10.57	223.3	
263	9374	1-Jun-14	24.93	35.331	0.07	1.11	2006	2329	1987.21	2307.2	8.067	8.068	8.0744	8.0751	368.2	301.5	3.62	5.49	10.42	228.9	
264	9404	1-Jul-14	25.676	35.256	0.08	0.96	2004.55	2324	1989.99	2307.1	8.073	8.063	8.0704	8.06	383.2	304.5	3.6	5.45	10.65	226.8	
265	9480	15-Sep-14	27.345	34.955	0.14	1.32	1980.8	2299.5	1983.35	2302.5	8.082	8.047	8.0768	8.0417	398.7	296.5	3.63	5.46	10.65	226.1	
266	9509	14-Oct-14	27.572	34.99	0.11	1.27	1979.6	2307.5	1980.17	2308.2	8.09	8.052	8.09	8.0516	388.6	286.3	3.73	5.61	10.32	232.4	
267	9548	22-Nov-14	26.205	35.356	0.04	0.97	1995.8	2328	1975.7	2304.6	8.093	8.075	8.0891	8.0709	371.2	288.7	3.74	5.65	10.18	235.2	
268	9573	17-Dec-14	24.636	35.327	0.08	0.51	2007.85	2327.5	1989.26	2306	8.073	8.078	8.0693	8.0744	369.1	305.7	3.58	5.43	10.52	226.6	
269	9643	25-Feb-15	24.001	35.219	0.11	2.12	2008.45	2323.5	1995.96	2309.1	8.058	8.073	8.0636	8.0781	365.4	310.5	3.52	5.35	10.59	223.4	
270	9675	29-Mar-15	23.588	35.288	0.09	1.69	2013.35	2325	1996.92	2306	8.061	8.082	8.057	8.0776	366.3	316.5	3.47	5.29	10.73	221	
271	9699	22-Apr-15	24.261	35.12	0.1	1.2	1999	2317.5	1992.17	2309.6	8.067	8.078	8.0715	8.0822	360.3	303	3.56	5.41	10.38	225.6	
272	9731	24-May-15	24.515	35.119	0.11	1.63	2006.1	2324	1999.3	2316.1	8.069	8.076	8.0695	8.0764	367.2	305.7	3.56	5.41	10.51	225.5	
273	9758	20-Jun-15	25.476	35.095	0.09	1.54	1995.25	2309	1989.85	2302.7	8.075	8.068	8.0654	8.058	383.5	307.3	3.53	5.35	10.72	222.6	
274	9788	20-Jul-15	26.705	35.158	0.07	1.55	1996.4	2312.5	1987.43	2302.1	8.075	8.049	8.0679	8.0424	400.2	305.3	3.58	5.41	10.85	224.6	
275	9812	13-Aug-15	27.094	35.297	0.05	1.14	2001.95	2331.5	1985.1	2311.9	8.079	8.048	8.085	8.0536	389.9	292.8	3.74	5.63	10.46	234	
276	9856	26-Sep-15	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	k
277	9874	14-Oct-15	26.101	35.253	0.04	1	1997.45	2323	1983.11	2306.3	8.076	8.059	8.0806	8.0639	378.4	295.6	3.67	5.55	10.4	230.8	
278	9905	14-Nov-15	25.864	35.194	0.05	1.58	1994.5	2319	1983.51	2306.2	8.085	8.072	8.0802	8.067	374.8	295.5	3.65	5.53	10.37	230	
279	9930	9-Dec-15	25.754	35.003	0.06	1.06	1982.8	2306	1982.63	2305.8	8.085	8.073	8.0826	8.0711	369	292.3	3.64	5.51	10.25	228.8	
280	9965	13-Jan-16	24.974	34.924	0.07	1.28	1983.05	2305	1987.37	2310	8.079	8.079	8.0817	8.0818	358.8	293.1	3.61	5.48	10.16	227.8	
281	9993	10-Feb-16	24.566	35.029	0.05	1.25	1990.7	2310	1989.05	2308.1	8.076	8.082	8.0753	8.0814	360	299	3.57	5.43	10.3	226.1	
282	10021	9-Mar-16	24.349	35.071	0.07	1.14	1995.75	2315	1991.71	2310.3	8.075	8.084	8.0738	8.0832	359	300.8	3.57	5.43	10.32	226.1	
283	10058	15-Apr-16	24.409	34.835	0.1	1.29	1986.65	2300	1996.06	2310.9	8.067	8.075	8.0695	8.0779	362.7	303.2	3.51	5.34	10.43	222	
284	10102	29-May-16	25.839	34.879	0.09	1.43	1984.45	2303	1991.33	2311	8.074	8.061	8.077	8.0642	376.2	297	3.6	5.44	10.43	225.9	
285	10146	12-Jul-16	25.852	34.905	0.08	1.26	1985.6	2300.5	1991	2306.8	8.074	8.061	8.0711	8.0581	382.3	301.7	3.56	5.38	10.6	223.4	
286	10175	10-Aug-16	26.196	34.894	0.07	1.04	1983.6	2301	1989.63	2308	8.076	8.058	8.0753	8.0572	383	298.1	3.59	5.43	10.53	225.1	
287	10242	16-Oct-16	26.237	34.93	0.07	1.06	1987.4	2304.5	1991.38	2309.1	8.077	8.058	8.0738	8.0551	385.8	299.8	3.59	5.42	10.59	225.1	
288	10284	27-Nov-16	24.968	35.123	0.05	1.27	1996.1	2311.5	1989.11	2303.4	8.075	8.075	8.0675	8.0676	374	305.7	3.54	5.37	10.59	223.6	
289	10342	24-Jan-17	23.607	35.069	0.08	1.2	2003	2307	1999.06	2302.5	8.058	8.078	8.0498	8.0702	371.8	321.1	3.39	5.17	10.9	215.7	
290	10372	23-Feb-17	23.624	34.964	0.08	1.17	1994.9	2300	1996.95	2302.4	8.062	8.082	8.0541	8.0742	366.7	316.5	3.41	5.19	10.75	216.3	
291	10406	29-Mar-17	24.32	34.969	0.06	1.16	1991.2	2305	1992.97	2307	8.065	8.075	8.0678	8.0775	363.5	305	3.51	5.34	10.47	222.3	
292	10434	26-Apr-17	25.023	34.877	0.07	1.69	1987.6	2299	1994.61	2307.1	8.069	8.068	8.0659	8.0652	375.2	306.1	3.5	5.31	10.62	220.8	
293	10462	24-May-17	25.279	34.864	0.06	1.16	1986.5	2299	1994.25	2308	8.071	8.067	8.0679	8.0634	376.9	304.4	3.52	5.34	10.6	221.7	
294	10490	21-Jun-17	26.213	34.786	0.06	1.1	1975.8	2287.5	1987.95	2301.6	8.077	8.059	8.0694	8.0511	387.8	301.7	3.53	5.34	10.66	221.1	
295	10539	9-Aug-17	27.089	34.927	0.04	1.47	1978.75	2299.5	1982.89	2304.3	8.083	8.052	8.0806	8.0494	390.4	293.3	3.64	5.49	10.5	227.5	
296	10598	7-Oct-17	26.838	35.09	0.03	1.78	1987.8	2310	1982.7	2304.1	8.084	8.056	8.0792	8.0517	389.4	295.5	3.65	5.51	10.52	228.6	
297	10631	9-Nov-17	26.105	35.052	0.04	1.24	1987.85	2309.5	1984.9	2306.1	8.079	8.062	8.0789	8.0622	378.6	295.8	3.63	5.49	10.42	228	
298	10665	13-Dec-17	24.048	35.126	0.03	1.18	1999.8	2315.5	1992.63	2307.2	8.068	8.082	8.0673	8.0811	361.3	306.5	3.53	5.36	10.47	223.7	
299	10701	18-Jan-18	24.237	35.004	0.06	1.27	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	o
